Park,Park_Code,Site_Name,Station_Name,Event_Date,Marker_Horizon,Observation_Number,Depth_mm,Data_Processing_Level,Observation_Type,Core_Condition,Core_Type,Core_Notes
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,C,2,5,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,A,2,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,A,3,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,C,3,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,B,3,1,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/22/2015,C,4,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,C,1,8,Accepted,Standard observation,Good,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,C,2,10,Accepted,Standard observation,Good,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,C,3,12,Accepted,Standard observation,Good,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,A,1,19,Accepted,Standard observation,Poor,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,B,1,15,Accepted,Standard observation,Poor,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,B,2,15,Accepted,Standard observation,Poor,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,4/28/2016,A,2,18,Accepted,Standard observation,Poor,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,A,1,6,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,B,1,12,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,C,1,14,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,C,2,15,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,A,2,10,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,A,3,9,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,C,3,12,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/19/2016,C,4,14,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,C,1,7,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,C,2,14,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,C,3,12,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,A,1,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,A,2,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,6/27/2017,A,3,11,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/23/2017,C,1,9,Raw,Standard observation,Poor,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/23/2017,C,2,9,Raw,Standard observation,Poor,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/23/2017,A,1,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/23/2017,A,2,7,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/23/2017,A,3,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,A,1,3,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,C,1,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,C,2,11,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,A,2,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,A,3,3,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,5/8/2018,C,3,12,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/18/2018,C,1,13,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/18/2018,C,2,13,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/18/2018,C,3,7,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H2,10/18/2018,C,4,8,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,A,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,B,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,C,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,C,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,B,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,A,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,A,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,B,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,C,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,C,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,B,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2013,A,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,A,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,C,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,B,1,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,B,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,C,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,A,2,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,A,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,C,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,B,3,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,B,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,C,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/21/2014,A,4,0,Accepted,Standard observation,Not Sampled,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,A,1,5,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,B,1,8,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,C,1,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,C,2,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,B,2,5,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,A,2,4,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,A,3,6,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,B,3,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,C,3,4,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,C,4,8,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,B,4,5,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/16/2014,A,4,6,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,A,1,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,C,1,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,B,1,4,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,B,2,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,C,2,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,A,2,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,A,3,6,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/13/2015,B,3,3,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,B,1,9,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,C,1,9,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,C,2,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,B,2,6,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,B,3,8,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/22/2015,C,3,7,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,A,1,10,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,B,1,9,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,C,1,7,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,C,2,8,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,B,2,7,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,A,2,10,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,B,3,6,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,C,3,5,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,4/28/2016,B,4,10,Accepted,Standard observation,Unknown,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,A,1,12,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,B,1,14,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,C,1,15,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,C,2,15,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,B,2,10,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,A,2,13,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,B,3,14,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,C,3,15,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,C,4,13,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/19/2016,B,4,10,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,A,1,13,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,B,1,10,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,C,1,7,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,C,2,8,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,B,2,8,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,A,2,17,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,A,3,14,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,B,3,11,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,C,3,7,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,6/27/2017,A,4,13,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,A,1,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,B,1,14,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,C,1,17,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,C,2,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,B,2,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,A,2,16,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,A,3,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,B,3,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/23/2017,C,3,16,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,A,1,2,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,C,1,7,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,C,2,3,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,A,2,1,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,A,3,2,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,5/8/2018,C,3,4,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,A,1,6,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,B,1,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,C,1,10,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,C,2,19,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,B,2,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,A,2,5,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,A,3,9,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,B,3,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,C,3,8,Raw,Standard observation,Unknown,Plug,crabs
Cape Cod National Seashore,CACO,Hatches Harbor,H3,10/18/2018,B,4,12,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,A,1,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,C,1,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,B,1,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,B,2,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,C,2,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,A,2,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,A,3,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,C,3,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,B,3,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,B,4,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,C,4,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,4/28/2016,A,4,0,Accepted,Standard observation,Good,Plug,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,A,1,1,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,B,1,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,C,1,1,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,C,2,1,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,B,2,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,A,2,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,A,3,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,B,3,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,C,3,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,C,4,1,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,B,4,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/19/2016,A,4,2,Accepted,Standard observation,Unknown,Unknown,Data Import Added Required Note
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,A,1,10,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,A,2,9,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,A,3,9,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,A,4,10,Raw,Standard observation,Fair,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,B,1,5,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,C,1,3,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,C,2,5,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,B,2,2,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,B,3,4,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,6/27/2017,C,3,2,Raw,Standard observation,Good,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,A,1,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,C,1,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,B,1,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,B,2,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,C,2,3,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,A,2,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,A,3,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,C,3,3,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,B,3,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/23/2017,A,4,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,A,1,14,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,C,1,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,B,1,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,B,2,7,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,C,2,14,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,A,2,9,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,A,3,10,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,5/8/2018,B,3,6,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,A,1,15,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,B,1,5,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,C,1,25,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,C,2,29,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,B,2,2,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,A,2,20,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,A,3,20,Raw,Standard observation,Unknown,Plug,
Cape Cod National Seashore,CACO,Hatches Harbor,H4,10/18/2018,B,3,7,Raw,Standard observation,Unknown,Plug,
