Park,Park_Code,Site_Name,Station_Name,Event_Date,Marker_Horizon,Observation_Number,Depth_mm,Data_Processing_Level,Observation_Type,Core_Condition,Core_Type,Core_Notes
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,C,1,9,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,B,1,5,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,A,1,33,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,A,2,30,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,B,2,6,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,C,2,11,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,C,3,12,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/20/2013,B,3,8,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,C,1,15,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,B,1,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,A,1,18,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,A,2,18,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,B,2,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,C,2,17,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,C,3,20,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,B,3,18,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/3/2014,A,3,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,C,1,21,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,A,1,27,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,B,1,25,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,B,2,25,Provisional,Standard observation,Unknown,Unknown,
